Station_Name,Entry_Count,Coordinates,color
34 ST-PENN STA ACE,7126385,"[40.752247, -73.99345600000001]",green
FULTON ST 2345ACJZ,6562912,"[40.709938, -74.007983]",green
GRD CNTRL-42 ST 4567S,6099060,"[40.751849, -73.976945]",green
34 ST-HERALD SQ BDFMNQR,5923456,"[40.748931, -73.988113]",green
14 ST-UNION SQ 456LNQR,5434124,"[40.734836, -73.990688]",green
86 ST 456,4475304,"[40.779485, -73.955541]",red
72 ST 123,3870377,"[40.778575, -73.981912]",red
59 ST COLUMBUS 1ABCD,3810393,"[40.76811, -73.981891]",red
W 4 ST-WASH SQ ABCDEFM,3747382,"[40.7310539,-74.0009713]",red
34 ST-PENN STA 123ACE,3682623,"[40.750329, -73.991096]",red
96 ST 123,3668132,"[40.79388, -73.972363]",red
JAY ST-METROTEC ACF,3642774,"[40.692338, -73.987342]",red
FLUSHING-MAIN 7,3635713,"[40.759578000000005, -73.830056]",red
42 ST-GRD CNTRL 4567S,3453272,"[40.751849, -73.976945]",red
TIMES SQ-42 ST 1237ACENQRS,3447580,"[40.757303, -73.98978699999999]",red
TIMES SQ-42 ST 1237ACENQRS,3447580,"[40.755905, -73.98650400000001]",red